feature,gain,split,combined
CORD30,0.006199795134358274,0.007333333333333333,0.006539856594050791
RESI20,0.006418932893339468,0.006666666666666667,0.006493253025337627
LOW0,0.0063217168834357905,0.006833333333333334,0.006475201818405054
WVMA20,0.005190853299481762,0.009166666666666667,0.006383597309637233
KSFT,0.005740739750797994,0.007666666666666666,0.0063185178255585955
VSUMP10,0.006169169255790491,0.006333333333333333,0.006218418479053343
STD20,0.006858293325397981,0.004666666666666667,0.006200805327778587
kdj_j,0.006760509404419541,0.004833333333333334,0.006182356583093678
IMAX20,0.005653381573462111,0.007333333333333333,0.006157367101423477
VSUMN60,0.006495264309621812,0.005333333333333333,0.006146685016735268
macd_signal,0.0060957636771279316,0.005833333333333334,0.006017034573989551
CORR20,0.004362847468537191,0.0095,0.005903993227976034
VSUMP20,0.006924410470866652,0.003,0.005747087329606656
RSV30,0.006880282141278718,0.0023333333333333335,0.005516197498895102
WVMA10,0.005355737053193309,0.005333333333333333,0.005349015937235316
RESI60,0.0051319818390699315,0.005833333333333334,0.005342387287348952
VSTD20,0.0050988625452322855,0.005833333333333334,0.0053192037816626
VSTD5,0.004816518070078548,0.006333333333333333,0.005271562649054983
MA30,0.006260435867951317,0.0028333333333333335,0.005232305107565921
ema_60,0.0045653830316845535,0.006666666666666667,0.005195768122179187
RSV20,0.006273837359792336,0.0025,0.005141686151854634
IMIN20,0.004261846249461794,0.007166666666666667,0.005133292374623255
volume_ma_20,0.004051394275236766,0.007333333333333333,0.005035975992665736
VSTD60,0.004606368138295797,0.005833333333333334,0.004974457696807058
SUMD60,0.005493666703755195,0.0031666666666666666,0.004795566692628636
SUMP30,0.004910462289199716,0.004166666666666667,0.004687323602439801
BETA5,0.005330794287552866,0.003,0.0046315560012870054
MAX5,0.00458334993395711,0.004333333333333333,0.004508344953769977
BETA20,0.003692330894207556,0.006333333333333333,0.004484631625945289
QTLD10,0.004395171914201619,0.004666666666666667,0.004476620339941133
SUMN5,0.004383254479174546,0.0045,0.004418278135422182
